code_agence,nom_agence,type_agence,date_ouverture,statut_agence,region,departement,arrondissement,ville,quartier,latitude,longitude
AG00076,Agence Ngaoundéré Baladji 076,Principale,2022-02-02,Active,Adamaoua,Vina,Ngaoundéré I,ngaoundéré,Baladji,7.326310127330198,13.580525423589748
AG00077,Agence Douala Akwa 077,Bureau de terrain,2019-01-27,Active,Littoral,Wouri,Douala I,Dla,Akwa,4.055154811934317,9.696504645637233
AG00078,Agence Douala Makepe 078,Principale,2017-12-03,Active,Littoral,Wouri,Douala V,Douala,Makepe,4.097600297369827,9.757474707082679
AG00079,Agence Dschang Foto 079,Principale,2025-07-12,Active,Ouest,Menoua,Dschang,Dschang,Foto,5.450068445223512,10.053878099773037
AG00080,Agence Yaoundé Bastos 080,Bureau de terrain,2015-03-28,Active,Centre,Mfoundi,Yaoundé I,YDE,Bastos,3.882893323354837,11.505271842687687
AG00081,Agence Mbouda Centre 081,Relais,2025/11/30,Active,Ouest,Bamboutos,Mbouda,Mbouda,Centre,5.630393948568232,10.25379380186852
AG00082,Agence Nkongsamba Centre-ville 082,Principale,2021-08-25,Active,Littoral,Moungo,Nkongsamba I,nkongsamba,Centre-ville,4.948671970326606,9.94657528171488
AG00083,Agence Mbouda Centre 083,Relais,2020-08-18,Active,Ouest,Bamboutos,Mbouda,mbouda,Centre,5.6246144161402505,10.264408673273442
AG00084,Agence Buea Molyko 084,Relais,26/11/2023,Suspendue,Sud-Ouest,Fako,Buea,Buea,Molyko,4.149476896394804,9.29968499178728
AG00085,Agence Yaoundé Mokolo 085,Relais,2021-05-03,Active,Centre,Mfoundi,Yaoundé II,yde,Mokolo,3.8802556668028756,11.50601500656103
AG00086,Agence Buea Molyko 086,Bureau de terrain,2018-08-02,Active,Sud-Ouest,Fako,Buea,buea,Molyko,4.161021740390896,9.298338475259131
AG00087,Agence Foumban Centre-ville 087,Relais,2021-10-27,Active,Ouest,Noun,Foumban,foumban,Centre,5.719980878734978,10.893462031857544
AG00088,Agence Buea Molyko 088,Bureau de terrain,2020-11-23,Active,Sud-Ouest,Fako,Buea,Buea,Molyko,4.148540191948872,9.293752320463922
AG00089,Agence Garoua Djamboutou 089,Relais,2023-08-03,Active,Nord,Bénoué,Garoua III,Garoua,Djamboutou,9.33287550730905,13.414226716649829
AG00090,Agence Ngaoundéré Sabongari 090,Bureau de terrain,2021-02-24,Active,Adamaoua,Vina,Ngaoundéré II,Ngaoundéré,Sabongari,7.328470076203764,13.582217693897265
AG00091,Agence Douala Bassa 091,Relais,2022-09-15,Active,Littoral,Wouri,Douala III,Douala,Bassa,4.062241802752948,9.778456145295253
AG00092,Agence Douala Akwa 092,Relais,2025-10-12,Suspendue,Littoral,Wouri,Douala I,Douala,Akwa,4.046981354495028,9.699937377890128
AG00093,Agence Batouri Centre 093,Relais,2021-10-11,Active,Est,Kadey,Batouri,batouri,Centre,4.431981407403179,14.35700901520259
AG00094,Agence Bamenda Commercial Avenue 094,Relais,2017-04-26,Active,Nord-Ouest,Mezam,Bamenda I,Bamenda,Commercial Avenue,5.967520341716624,10.151965217418581
AG00095,Agence Yaoundé Bastos 095,Bureau de terrain,2025-11-25,Fermée,Centre,Mfoundi,Yaoundé I,YDE,Bastos,3.8853983761263797,11.517380499188905
AG00096,Agence Yaoundé Mvan 096,Principale,2022-07-22,Active,Centre,Mfoundi,Yaoundé IV,yde,Mvan,3.808866383907353,11.537979673420809
AG00097,Agence Bertoua Centre-ville 097,Relais,2017-11-10,Active,Est,Lom-et-Djérem,Bertoua I,bertoua,Centre-ville,4.567840292025169,13.676470491221856
AG00098,Agence Ngaoundéré Baladji 098,Bureau de terrain,2020-05-25,Active,Adamaoua,Vina,Ngaoundéré I,ngaoundéré,Baladji,7.325478579940648,13.591489750224438
AG00099,Agence Douala Bonamoussadi 099,Relais,2019-09-25,Active,Littoral,Wouri,Douala V,Douala,Bonamoussadi,4.091987249583882,9.746305289645184
AG00100,Agence Maroua Pitoaré 100,Relais,2021-05-06,Active,Extrême-Nord,Diamaré,Maroua II,maroua,Pitoaré,10.604388022766216,14.314021544970217
AG00101,Agence Bafoussam Tamdja 101,Principale,2017-01-21,Active,Ouest,Mifi,Bafoussam II,Bafoussam,Tamdja,5.491512481771311,10.407226511273977
AG00102,Agence Yaoundé Ngoa-Ekellé 102,Bureau de terrain,2026-02-16,Active,Centre,Mfoundi,Yaoundé III,YDE,Ngoa-Ekellé,3.869189682090997,11.502246769685195
AG00103,Agence Bafoussam Tamdja 103,Relais,2017-10-10,Active,Ouest,Mifi,Bafoussam II,BAF,Tamdja,5.497988620046329,10.405699011286464
AG00104,Agence Batouri Centre 104,Principale,2016/07/13,Active,Est,Kadey,Batouri,Batouri,Centre,4.435616686446464,14.371983395329899
AG00105,Agence Douala Bonabéri 105,Principale,2018-04-05,Active,Littoral,Wouri,Douala IV,douala,Bonabéri,4.077555238804832,9.678526777814838
AG00106,Agence Yaoundé Ngoa-Ekellé 106,Bureau de terrain,2020-09-28,Active,Centre,Mfoundi,Yaoundé III,yde,Ngoa-Ekellé,3.859607507978151,11.498036004219621
AG00107,Agence Limbe Down Beach 107,Relais,2023-06-19,Active,Sud-Ouest,Fako,Limbe I,Limbe,Down Beach,4.02560524291359,9.222208706691738
AG00108,Agence Bertoua Centre-ville 108,Bureau de terrain,2015-05-26,Active,Est,Lom-et-Djérem,Bertoua I,bertoua,Centre Ville,4.584630883473155,13.688644654173462
AG00109,Agence Douala Bassa 109,Principale,2015-04-28,Active,Littoral,Wouri,Douala III,douala,Bassa,4.066613460453237,9.782794647856026
AG00110,Agence Douala Bassa 110,Bureau de terrain,2025-11-04,Active,Littoral,Wouri,Douala III,Dla,Bassa,4.067276610402623,9.779664243199912
AG00111,Agence Yaoundé Essos 111,Relais,2019-10-12,Active,Centre,Mfoundi,Yaoundé V,YDE,Essos,3.8773498822903596,11.543029733379042
AG00112,Agence Douala Bassa 112,Relais,2017-03-17,Active,Littoral,Wouri,Douala III,douala,Bassa,4.058627265677099,9.785987932963824
AG00113,Agence Bamenda Commercial Avenue 113,Bureau de terrain,2024/10/07,Active,Nord-Ouest,Mezam,Bamenda I,Bamenda,Commercial Avenue,5.949527465986081,10.139725701352047
AG00114,Agence Kribi Mboa Manga 114,Bureau de terrain,2015-10-06,Active,Sud,Océan,Kribi I,kribi,Mboa Manga,2.9291116404324833,9.906251980615323
AG00115,Agence Bertoua Centre-ville 115,Bureau de terrain,2018-12-07,Active,Est,Lom-et-Djérem,Bertoua I,Bertoua,Centre,4.583647567207915,13.678042480990248
AG00116,Agence Yaoundé Bastos 116,Relais,2022-03-11,Active,Centre,Mfoundi,Yaoundé I,Yaoundé,Bastos,3.886657027562863,11.510468913223947
AG00117,Agence Douala New Bell 117,Principale,2026/02/07,Active,Littoral,Wouri,Douala II,douala,New Bell,4.045708707181344,9.713058579872568
AG00118,Agence Bafoussam Tamdja 118,Bureau de terrain,2024-05-13,Active,Ouest,Mifi,Bafoussam II,bafoussam,Tamdja,5.484304091770125,10.408432135901043
AG00119,Agence Douala Bonabéri 119,Relais,2019-01-18,Fermée,Littoral,Wouri,Douala IV,DLA,Bonabéri,4.079935701312881,9.67952362515363
AG00120,Agence Garoua Poumpoumré 120,Principale,2016-08-25,Active,Nord,Bénoué,Garoua I,garoua,Poumpoumré,9.302021037337722,13.397379561510842
AG00121,Agence Douala Makepe 121,Bureau de terrain,2023-07-27,Active,Littoral,Wouri,Douala V,Douala,Makepe,4.1005006577320025,9.746353163809042
AG00122,Agence Garoua Laindé 122,Principale,2020/12/09,Active,Nord,Bénoué,Garoua II,Garoua,Laindé,9.326057251131191,13.389714136889571
AG00123,Agence Garoua Laindé 123,Relais,2019-10-01,Active,Nord,Bénoué,Garoua II,garoua,Laindé,9.31987180379824,13.39877739431987
AG00124,Agence Mokolo Centre 124,Bureau de terrain,2015-09-11,Suspendue,Extrême-Nord,Mayo-Tsanaga,Mokolo,Mokolo,Centre,10.74682329916404,13.807150252072553
AG00125,Agence Douala Bonabéri 125,Bureau de terrain,2022-08-19,Active,Littoral,Wouri,Douala IV,Dla,Bonabéri,4.074244806060437,9.665129958544076
AG00126,Agence Ngaoundéré Sabongari 126,Relais,2016-11-07,Active,Adamaoua,Vina,Ngaoundéré II,Ngaoundéré,Sabongari,7.34752191702493,13.589438198558222
AG00127,Agence Nkongsamba Centre-ville 127,Relais,2025-08-01,Active,Littoral,Moungo,Nkongsamba I,nkongsamba,Centre Ville,4.949330099478915,9.942492294728385
AG00128,Agence Bamenda Nkwen 128,Bureau de terrain,2020-06-20,Active,Nord-Ouest,Mezam,Bamenda II,Bamenda,Nkwen,5.976728194631273,10.173313367543969
AG00129,Agence Tiko Likomba 129,Bureau de terrain,2016-08-04,Active,Sud-Ouest,Fako,Tiko,Tiko,Likomba,4.069650398047379,9.360497082130813
AG00130,Agence Yaoundé Mokolo 130,Bureau de terrain,2015-10-10,Active,Centre,Mfoundi,Yaoundé II,Yaounde,Mokolo,3.8680774852594424,11.51306075835437
AG00131,Agence Yaoundé Essos 131,Relais,2018-10-25,Active,Centre,Mfoundi,Yaoundé V,yde,Essos,3.8742892186725073,11.546545883740054
AG00132,Agence Bafoussam Marché A 132,Bureau de terrain,2025-09-17,Active,Ouest,Mifi,Bafoussam I,bafoussam,Marché A,5.485153505508766,10.410071338798822
AG00133,Agence Mokolo Centre 133,Relais,2018-02-16,Active,Extrême-Nord,Mayo-Tsanaga,Mokolo,Mokolo,Centre,10.734648141595606,13.804123502155075
AG00134,Agence Mokolo Centre 134,Bureau de terrain,2015-06-29,Active,Extrême-Nord,Mayo-Tsanaga,Mokolo,mokolo,Centre,10.735635460582323,13.811216363479312
AG00135,Agence Douala Bonamoussadi 135,Bureau de terrain,2023-04-14,Suspendue,Littoral,Wouri,Douala V,DLA,Bonamoussadi,4.085009392528598,9.744381986933279
AG00136,Agence Maroua Domayo 136,Relais,2022-10-21,Active,Extrême-Nord,Diamaré,Maroua I,maroua,Domayo,10.601378554897446,14.309338141109096
AG00137,Agence Garoua Djamboutou 137,Principale,2025-04-16,Active,Nord,Bénoué,Garoua III,Garoua,Djamboutou,9.330733195467388,13.42511563127263
AG00138,Agence Ebolowa Nko'ovos 138,Relais,2022/04/13,Active,Sud,Mvila,Ebolowa I,Ebolowa,Nko'ovos,2.922105745845324,11.143790119758515
AG00139,Agence Yaoundé Nkolbisson 139,Relais,2017-08-25,Active,Centre,Mfoundi,Yaoundé VII,Yaounde,Nkolbisson,3.892645142081592,11.45045216492943
AG00140,Agence Buea Molyko 140,Relais,2025-01-08,Active,Sud-Ouest,Fako,Buea,buea,Molyko,4.159462969451152,9.292385904285036
